latitude,longitude,name,ignore,address,notes,phone,email,website
46.0650178,14.4927741,ŠPORTNO DRUŠTVO TALENT,95,"NA JAMI 11, 1000 LJUBLJANA",TKTAL,031/393 639,uros.sever@yahoo.com,
46.0272114,14.5100606,ŠPORTNO DRUŠTVO TANKO ŠPORT,65,"IŽANSKA CESTA 142 C, 1000 LJUBLJANA",TANKO,041/736 692,uros.tanko@siol.net,
46.133945,14.5623619,ŠPORTNO DRUŠTVO TAUBI KLUB,61,"MENGEŠKA 7B, 1236 TRZIN",TAUBI,041/617 553,taubi.klub@gmail.com,http://www.taubi-klub.com
46.1327726,14.6011576,ŠPORTNO DRUŠTVO TEN TEN ,129,"MAČKOVCI 80, 1230 DOMŽALE",ŠDTEN,,rok.rakela@gmail.com,
46.5504304,15.6579201,ŠPORTNO DRUŠTVO TENNIS TEAM MARIBOR,115,"GERŠAKOVA ULICA 036, 2000 MARIBOR",TKMB,041 994 201,tennis.team.mb@gmail.com,
46.0469356,14.4603449,ŠPORTNO REKREATIVNO DRUŠTVO MAX CLUB,28,"CESTA NA BRDO 109, 1000 LJUBLJANA",MAXLJ,01/256 21 69 ali 01/256 21 68,markotekavec@yahoo.com,http://www.maxtenisclub.si
46.0375453,14.4584931,ŠPORTNO TENIŠKO DRUŠTVO SOČA,122,DOLGI MOST 6a,SOČA,+386 1 25 74 136,stdsoca@gmail.com,
46.2747307,13.9522794,ŠPORTNO TURISTIČNO DRUŠTVO BOHINJ,128,"SAVSKA CESTA 6, 4264 BOHINJSKA BISTRICA",ŠTDBO,031 868 441,teniska.sola@gmail.com,
46.5219769,16.195141,TELESNO VZGOJNO DRUŠTVO PARTIZAN LJUTOMER,81,"PREŠERNOVA ULICA 32, 9240 LJUTOMER",LJUTO,031/535 654,sasa.fisinger@guest.arnes.si,
46.5167382,15.0839137,TENIS KLUB 96,7,"FRANCETOVA CESTA 24, 2380 SLOVENJ GRADEC",SGRAD,041/712 922,vinko.murko-hajtnik@siol.net,
46.0605456,14.8346593,TENIS KLUB AS LITIJA,20,"SAVSKA CESTA 5, 1270 LITIJA",ASLIT,01/898 08 00,melita.asteprom@gmail.com,http://www.tenis.as-litija.si
46.3727033,14.1083699,TENIS KLUB BLED,55,"ZA PECOVCO 14, 4260 BLED",BLED, 041/500 816,igor_tolar@t-2.net,http://tenisbled.com
46.0826293,14.4680665,TENIS KLUB BS,33,"REGENTOVA CESTA 47, 1000 LJUBLJANA",BENČ,01/519 96 99,benc-sport@siol.net,http://www.bencsport.si
45.5146355,13.5719543,TENIS KLUB HARI,77,"OBALA 2, 6320 PORTOROŽ",HARI,041/635 067,tenis@siol.com,http://www.my-tennis-club.com
45.5326333,14.1206391,TENIS KLUB HRUŠICA,86,"HRUŠICA 100, 6244 PODGRAD",TKHRU,041/651 212,info@tenisklub-hrusica.net,http://www.tenisklub-hrusica.net
46.2276991,14.6180143,TENIS KLUB KAMNIK,16,"MAISTROVA 15/A, 1241 KAMNIK",KAMNI,031 499 412,tkkamnik@gmail.com,http://tkkamnik.si
46.0749201,15.5608708,TENIS KLUB KOZJE,79,"KOZJE 155, 3260 KOZJE",KOZJE,031/550 579,tkkozje@gmail.com,http://tkkozje.com
46.1443654,15.2434438,TENIS KLUB MARIJA GRADEC,21,"MARIJA GRADEC 29, 3270 LAŠKO",LAŠKO,031/814 691, info@tenis-lasko.si,http://www.tenis-lasko.si
46.6090673,15.162897,TENIS KLUB MUTA,6,"GLAVNI TRG 17, 2366 MUTA",MUTA,051/432 007,milans@kivi.si,
46.5119208,15.6921754,TENIS KLUB NATKA,103,"ULICA OB GOZDU 5, 2204 MIKLAVŽ NA DRAVSKEM POLJU",NATKA,031/668 313,present@present.si,
46.0599532,14.4952876,TENIS KLUB OLIMPIJA,22,"CELOVŠKA 25, 1000 LJUBLJANA",OL-LJ,041/637 574,tkolimpija@siol.net,http://www.tenisklubolimpija.si
,,TENIS KLUB PORTOROŽ,,OBALA 26,PORTO,041 357 134,mladen.sredojevic@siol.net,
45.5462746,13.7412254,TENIS KLUB PRO TEN,10,"ANKARANSKA CESTA 7 B, 6000 KOPER",PROTEN,041/749 849,s.vidmar@proten.si,http://proten.si
46.2231898,15.7229844,TENIS KLUB ROGATEC,96,"CESTE 80, 3252 ROGATEC",TKROG,03/810 71 13,tenis@tk-rogatec.com,
46.3680341,14.1212362,TENIS KLUB SPORTINA BLED,90,"GREGORČIČEVA ULICA 25, 4260 BLED",SBLED,041/500 816,igor@tenisbled.com,http://tenisbled.com
46.2549598,15.1640122,TENIS KLUB TENIŠKA AKADEMIJA VOLK TOMAŽ,91,"AŠKERČEVA ULICA 15, 3310 ŽALEC",TAŽAL,041/698 276,tenisvolk@t-1.si,http://www.tenisvolk.si
46.0644723,14.5820316,TENIS KLUB Z SPORT,63,"NOVO POLJE CESTA VI 4, 1260 LJUBLJANA-NOVO POLJE",ZKLUB,01/528 57 11,luka.zalaznik@zsport.net,http://www.zsport.net
46.5610261,15.646037,TENIS MIMA D.O.O.,39,"GREGORČIČEVA 15, 2000 MARIBOR",MIMA,02/25 21 450,zoran.jausovec@triera.net,
46.5525777,15.5784802,TENIS ZAJŠEK ,112,"OB BLAŽOVNICI 54, 2341 LIMBUŠ",ZAJŠE,040 532 188,tjasa.zajsek@gmail.com,
46.5338443,15.6667992,TENIŠKA SEKCIJA BEŽIGRAD (Pasap d.o.o.),106,"RUSKA ULICA 9, 2000 MARIBOR",TSBEŽ,040/337 939,sinisa.vecic@siol.net,http://savskonaselje.si
46.0693078,14.5484774,TENIŠKA ZVEZA SLOVENIJE,0,"ŠMARTINSKA 152, 1000 LJUBLJANA",TZS,01/430 66 90,info@tenis-slovenija.si,http://www.tenis-slovenija.si
46.3670869,14.0852756,TENIŠKI KLUB BLED-ZAKA,105,"ŽUPANČIČEVA CESTA 9, 4260 BLED",ZAKA,04 574 1709,info@tenisklub-bled.si,http://www.tenisklub-bled.si
46.5630936,15.6385101,TENIŠKI KLUB BRANIK MARIBOR,2,"KAJUHOVA ULICA 6/A, 2000 MARIBOR",BR-MB,02/251 45 25,teniski-klub.branik@amis.net,http://www.teniski-klub-branik.si
45.9097126,15.5918249,TENIŠKI KLUB BREŽICE,50,"KAJUHOVA ULICA 13, 8250 BREŽICE",BREŽI,07/496 23 42,gregorvucajnk@yahoo.com,
45.9330626,15.603683,TENIŠKI KLUB BREZINA,30,"BREZINA 71/B, 8250 BREŽICE",BREBR,07/495 64 70,vinko.ogorevc@siol.net,
46.2256691,15.260975,TENIŠKI KLUB CELJE,36,"PARTIZANSKA CESTA 3A, 3000 CELJE",CELJE,03/544 24 07,info@tkcelje.si,http://www.tkcelje.si
46.134673,14.6017005,TENIŠKI KLUB DOMŽALE,3,"KOPALIŠKA CESTA 5, 1230 DOMŽALE",DOMŽA,01/724 29 03,info@tenis-domzale.si,http://www.tenis-domzale.si
46.4173073,15.9562405,TENIŠKI KLUB GALTENA,110,"PRVENCI 2a, 2281 MARKOVCI",GALTE,041 889 905,gali278@yahoo.com,
45.9656301,14.6592545,TENIŠKI KLUB GROSUPLJE,26,"LJUBLJANSKA CESTA 52, 1290 GROSUPLJE",GROSU,041/332 245,marko.skrjanc@gmail.com,http://www.teniski-klub-grosuplje.si
46.4946141,15.639117,TENIŠKI KLUB HOČE,38,"GOZDNA 2 g, 2311 HOČE",HOČE,02/618 05 07,vojko.frelih@intereuropa.si,http://teniskiklubhoce.si
46.0845837,14.5341739,TENIŠKI KLUB JAKI ŠPORT,45,"POT K SAVI 45, 1000 LJUBLJANA",JAKI,041/630 425,jaki.sport@siol.net,http://jakisport.si
46.659353,16.1697098,TENIŠKI KLUB JAKOPINA,64,"ULICA ARHITEKTA NOVAKA 15, 9000 MURSKA SOBOTA",TENMS,031 827  905,info@tsj.si,http://klub@jakopina.com
46.4331407,14.0494942,TENIŠKI KLUB JESENICE,17,"LEDARSKA 4, 4270 JESENICE",JESEN,041/604 434,rainbow@siol.net,http://league13.blogspot.com
45.6367542,14.8581254,TENIŠKI KLUB KOČEVJE,71,"TRG ZBORA ODPOSLANCEV 30, 1330 KOČEVJE",KOČEV,040/323 195,teniskocevje@gmail.com,
45.9984759,14.0334713,TENIŠKI KLUB KOLEKTOR,31,"VODNIKOVA ULICA 25, 5280 IDRIJA",IDRIJ,05/374 10 66,info@tkkolektor.si ,http://www.tkkolektor.si
45.5434847,13.7338602,TENIŠKI KLUB KOPER,9,"FERRARSKA 14, 6000 KOPER",KOPER,040/301 250,tk.koper@siol.net,http://www.teniskoper.com
45.8380095,15.2348204,TENIŠKI KLUB KRKA OTOČEC,4,"GRAJSKA CESTA 2, 8222 OTOČEC",OTOČE,07/307 56 10,tk.krka.otocec@gmail.com,http://www.tenis-krka.org
45.9477617,15.4880486,TENIŠKI KLUB KRŠKO,18,"CESTA KRŠKIH ŽRTEV 130b, 8270 KRŠKO",KRŠKO,07/ 492 71 76,info@teniski-klub-krsko.si,http://www.teniski-klub-krsko.si
46.0697768,14.4991886,TENIŠKI KLUB MAJA MATEVŽIČ,75,"MILČINSKEGA 2, 1000 LJUBLJANA",MAJA,041/766 761,maja_matevzic@yahoo.com,http://www.majamatevzic.com
,,TENIŠKI KLUB MOJSTRANA,,Kurirska pot 26,MOJST,,joze.krivc@app-jesenice.com,
45.506016,13.6085225,TENIŠKI KLUB MORJE PORTOROŽ,104,"FAZAN 5, 6320 PORTOROŽ",MORJE,031/699 013,info@tenismorje.com,http://www.tenismorje.com
46.6663127,16.1568438,TENIŠKI KLUB MURSKA SOBOTA,37,"RAZLAGOVA ULICA 27, 9000 MURSKA SOBOTA",MU-SO,02/537 12 60,primoz.starcic@gmail.com,http://www.tkms.si
45.9558916,13.6407238,TENIŠKI KLUB NOVA GORICA,32,"BAZOVIŠKA 4, 5000 NOVA GORICA",N.GOR,05/333 32 85,tkgorica.ng@gmail.com,http://www.tkgorica.si
46.2792863,15.0782869,TENIŠKI KLUB POLZELA,108,"POLZELA 8, 3313 POLZELA",POLZE,070/705 007,ivan.kapitler@saspro.si,http://www.tenis-klub-polzela.org
45.7971021,15.1585062,TENIŠKI KLUB PORTOVALD,47,"ŠEGOVA ULICA 106, 8000 NOVO MESTO",PVALD,041/557 857,nmtenis@gmail.com,http://www.tenis-portovald.si
46.4227611,15.8551682,TENIŠKI KLUB PTUJ,25,"POT V TOPLICE 10, 2250 PTUJ",PTUJ,040/304 897,mljet@yahoo.com,http://www.tktermeptuj.si
,,TENIŠKI KLUB RADENCI,,PIONIRSKA ULICA 4,RADEN,41625225,primoz.starcic@gmail.com,
46.1761981,14.6105169,TENIŠKI KLUB RADOMLJE,99,"ŠLANDROVA ULICA 1, 1235 RADOMLJE",RADOM,041/730 339,info@tk-radomlje.si,http://www.tk-radomlje.si
46.3456641,14.1715611,TENIŠKI KLUB RADOVLJICA,23,"GORENJSKA CESTA 26, 4240 RADOVLJICA",RADOV,04/531 59 44,mitja.skaza@telemach.net,http://www.teniski-klub-radovljica.si
46.2423859,15.6310589,TENIŠKI KLUB ROGAŠKA CRYSTAL,56,"ŠLANDROVA UL. 14, 3250 ROGAŠKA SLATINA",ROGAŠ,0599 89 650,janez.siter@siol.net,http://www.tk-rogaska.com
46.2170855,15.3951357,TENIŠKI KLUB ŠENTJUR,69,"ULICA DUŠANA KVEDRA 11, 3230 ŠENTJUR",ŠENTJ,01/500 45 80,tadej.kincl@siol.net,http://www.tk-sentjur.si
46.6635931,16.160902,TENIŠKI KLUB SLOVENSKA BISTRICA,126,GRAJSKA ULICA 13,TKSB,031 676 214,anze.kapun@gmail.com,
46.3361511,15.417231,TENIŠKI KLUB SLOVENSKE KONJICE,73,"TATTENBACHOVA ULICA 5, 3210 SLOVENSKE KONJICE",SL-KO,040/338 296,info.tk.konjice@gmail.com,
46.1349446,14.4385741,TENIŠKI KLUB SPIN MEDVODE,111,"SPODNJE PIRNIČE 36 C, 1215 MEDVODE",TKMED,031 505 453,knezdomen@gmail.com,http://www.tenis-medvode.si
46.0711927,14.4777293,TENIŠKI KLUB ŠPORT PLUS,41,"VODNIKOVA 155, 1000 LJUBLJANA",ŠPLUS,01/500 76 65,tksportplus@gmail.com,http://www.sportplus.si
46.2325191,14.3418083,TENIŠKI KLUB STRAŽIŠČE,72,"JERNEJEVA ULICA 12, 4000 KRANJ",STRAŽ,041/686 907,info@sco.si,http://www.tenstraz.si
46.0392018,14.4859219,TENIŠKI KLUB SVOBODA,13,"GERBIČEVA 61/A, 1000 LJUBLJANA",SVLJ,01/283 13 02,tk.svoboda@gmail.com,http://www.tksvoboda.si
46.4028129,15.0162756,TENIŠKI KLUB TOPOLŠICA,24,"TOPOLŠICA 77, 3326 TOPOLŠICA",TOPOL,041/745 223,jan.zakersnik@volja.net,
46.150922,15.0528039,TENIŠKI KLUB TRBOVLJE,27,"KOLONIJA 1. MAJA 3A, 1420 TRBOVLJE",TRBOV,03/562 21 16,tenis.trbovlje@siol.net ,http://teniski-klub-trbovlje.si
46.2491208,14.3641905,TENIŠKI KLUB TRIGLAV KRANJ,5,"PARTIZANSKA CESTA 22, 4000 KRANJ",TRKR,04/236 02 90,tktriglav@siol.net,http://tktriglav.si
45.5085335,13.5958488,TENIŠKI KLUB VAL PORTOROŽ - CLUB TENNISTICIO VAL PORTOROSE,117,"OBALA 26, 6320 PORTOROŽ",TKVAL,040/820 306,tk.val.portoroz@gmail.com,
45.9638393,14.2972634,TENIŠKI KLUB VRHNIKA,48,"TRŽAŠKA CESTA 9, 1360 VRHNIKA",VRHNI,041/356 148,matjazstare@gmail.com,http://www.tenis-vrhnika.si
46.0503594,14.5332075,TENIŠKO DRUŠTVO SLOVAN LJUBLJANA,51,"GORTANOVA 21, 1110 LJUBLJANA",SL-LJ,01/544 22 25,info@tdslovan.si,http://tdslovan.si
45.5167229,13.7708254,TENIŠKO DRUŠTVO TA LOS VANGANELOS,83,"VANGANEL 99 A, 6000 KOPER",TALOS,070/856 116,info@losvanganelos.si,http://losvanganelos.si
46.6968512,15.7351299,TENIŠKO DRUŠTVO TADORA,114,"SVEČANE 2A, 2214 SLADKI VRH",TDTAD,041 626 577,igor.fris@hoffmann.si,
46.4600557,13.9344819,TENIŠKO DRUŠTVO TOP TEN MOJSTRANA,57,"ALOJZA RABIČA 42A, 4280 MOJSTRANA",TOPTE,05/915 47 32,bogdan.jansa@telemack.net,http://www.klub-topten.si
46.0954914,14.5200893,TENNIS ACADEMY-ŠPORTNI KLUB BRESKVAR,44,"TESOVNIKOVA 74c, 1000 LJUBLJANA",TABRE,01/568 38 19,tennis.breskvar@siol.net,http://www.tenis-klub-breskvar.si
46.0553273,14.541712,ZAVOD NET ŠPORT TENIS,85,"ZALOŠKA CESTA 78A, 1000 LJUBLJANA",TKNET,030 243 773,info@netsport.si,http://www.netsport.si
46.0698768,14.4991886,ŽELEZNIČARSKI TENIŠKI KLUB LJUBLJANA,19,"MILČINSKEGA 2, 1000 LJUBLJANA",TCLJ,01/ 430 28 01,tcljubljana@siol.net,http://www.tc-lj.si
46.5477544,15.6351131,ŽELEZNIČARSKI TENIŠKI KLUB MARIBOR,1,"POPOVIČEVA ULICA 8, 2000 MARIBOR",ŽTKMB,02/332 74 92,info@ztk.si,http://www.ztk.si
