name,address,phone,email,website,facebook,categories
Karate klub Kočevje,"Trg zbora odposlancev 28, 1330 Kocevje",040 701 606,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubkocevje,,"karate, sankukai karate"
Karate klub Kočevje,"Cesta v mestni log 39, 1330 Kočevje",040 701 606,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubkocevje,,"karate, sankukai karate"
Karate klub Grosuplje,"Tovarniška 14, 1290 Grosuplje",041 513 350,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubgrosuplje,,"karate, sankukai karate"
Karate klub Komenda,"Moste 40, 1218 Komenda",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubkomenda,,"karate, sankukai karate"
Karate klub Cerklje na Gorenjskem,"Krvavska cesta 4, 4207 Cerklje",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubcerkljenagorenjskem,,"karate, sankukai karate"
Karate klub Ivančna Gorica,"cesta občine Hirschaid 1, 1295 Ivančna Gorica",051 311 082,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubivancnagorica,,"karate, sankukai karate"
Karate klub ŠENTVID PRI STIČNI,"Šentvid pri Stični 46, 1296 Šentvid pri Stični",051 311 082,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubivancnagorica,,"karate, sankukai karate"
Karate klub Krka,"Krka 1a, 1301 Krka",051 311 082,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubivancnagorica,,"karate, sankukai karate"
Društvo za borilne veščine Piran,"Senčna pot 2, Portorož",040 608 436,milenko_railic@hotmail.com,,https://www.facebook.com/groups/dbvpiran/,karate
Društvo za karate Celje,"VRUNČEVA 13, 3000 Celje",041 63 59 55,info@karateklub-celje.si,http://www.karateklub-celje.si/,,karate
Karate klub Limbuš,"Limbuška cesta 53, Limbuš, Slovenija",,karateklub.limbus@gmail.com,http://www.karate-limbus.com/,,karate
Karate-do klub Ptuj ,"Nova vas pri Ptuju 84 b, 2250 Ptuj",041 699 639,cafuta.and@gmail.com,http://karatedoptuj.weebly.com/,,karate
Karate društvo Loče,"MLAČE 23, 3215 LOČE",,karate.drustvo.loce@gmail.com,http://karate-loce.si/,,karate
Karate klub Branik Maribor,"Mladinska 29, 2000 Maribor",031 225 373,karateklubbranik@gmail.com,,https://www.facebook.com/pages/Karate-klub-Branik/458137480891503,karate
Karate klub Brežice,"Trg izgnancev 1A, P.P.70, 8250 BREŽICE",041 919 374,info@karate-brezice.com,http://www.karate-brezice.com/,,karate
Karate klub Cerknica,"PARTIZANSKA CESTA 16A, 1381 RAKEK",041 754 726,andrej.trontelj@gmail.com,,https://www.facebook.com/pages/Karate-Klub-Cerknica/144935622211635,karate
Karate klub Emona,"Rimska 9, 1000 Ljubljana",04 03 53 311,rajko.sabo@gmail.com,http://www.karateemona.si/,,karate
Karate klub Hrastnik,"NASELJE ALEŠA KAPLE 12, 1430 HRASTNIK",040 460 070,"bojan.pizmoht.luc@gmail.com, szhrastnik@siol.net",,,karate
Karate klub Ichi-ban Laško,"Cesta v Rečico 8 3270 Laško, Slovenija‎",041 969 784,karate.lasko@gmail.com,,https://www.facebook.com/ichiban.lasko.9,karate
Karate klub Kolektor Idrija ,"Mokraška vas 15, 5280 Idrija","040 799 797, 031 612 529","spela.bratoz@karate-institute.org, jernej.sever@karate-institute.org",http://www.karate-institute.org/,,karate
Karate klub Cerkno,"Sedejev trg 5, 5282 Cerkno","040 799 797, 031 530 231",spela.bratoz@karate-institute.org,,,karate
Center Premik,"Neubergerjeva 9, 1000 Ljubljana","040 799 797, 031 612 529","spela.bratoz@karate-institute.org, jernej_sever@yahoo.com",http://www.premik.si/,,karate
Karate Klub Koper,"Prade - cesta X/008, 6000 Koper",040 643 460,karatekoper@gmail.com,http://www.karatekoper.net/,,karate
Karate klub Kovinar Maribor ,"KETTEJEVA 13, 2000 MARIBOR",031 402 743,info@karate-klub-kovinar.si,http://www.karate-klub-kovinar.si/,,karate
Karate klub Kozjansko in Obsotelje,"POD BELLEVUEJEM 15, 3250 ROGAŠKA SLATINA",041 239 963,karate.kozjansko@gmail.com,http://www.karate-kozjansko.si,https://www.facebook.com/karate.klubkozjansko,karate
Karate klub Kranj,"Kališka 21, 4103 Kranj",,info@karate-klub-kranj.si,http://www.karate-klub-kranj.si/,,karate
Karate klub Lovrenc na Pohorju,"GORNJI TRG 19, 2344 LOVRENC NA POHORJU",041 578 385,arnold.skuhala@siol.net,http://www.lovrenc.si/karate,https://www.facebook.com/pages/Karate-klub-Lovrenc-na-Pohorju/124200477634177,karate
Karate klub Mislinja,"Dovže 10, 2382 Mislinja, Slovenija",041 363 509,info@karate-mislinja.si,http://www.karate-mislinja.si/,,karate
Karate klub Mon chi ,"Bukovčeva ulica 41, 1230 Domžale",041 686988,info@intrex.si,,,karate
Karate klub Murska Sobota,"Mladinska ulica 3, 9000 Murska Sobota",051 606 940,franc.maric@gmail.com,,https://www.facebook.com/karateklub.murskasobota,karate
Karate klub Nestor,"Ul. Talcev 1a, 3310 Žalec",040 750 800,info@karate-klub-nestor.net,http://www.karate-klub-nestor.net/,,karate
Karate klub Pesnica,"Pesnica pri Mariboru 44, 2211 Pesnica pri Mariboru",(02) 653 54 31,dvigalotehna@siol.net,,,karate
Karate klub Petrovče,"Petrovče 32, PETROVČE",03 57 07 188,anton.marusa@gmail.com,,https://www.facebook.com/pages/Karate-KLUB-Petrov%C4%8De/149413358485969,karate
Karate sekcija ŠTORE,"Ulica Cvetke Jerin 5, 3220 Štore",041 797 329,anton.marusa@gmail.com,,https://www.facebook.com/pages/Karate-KLUB-Petrov%C4%8De/149413358485969,karate
Karate klub Polzela,"Polzela 8, 3313 Polzela",041 740 942,tomaz.kkp@gmail.com,http://www.karate-klub-polzela.si/,,"karate, shito ryu karate"
Karate klub Postojna,"PLANINA 62, 6232 PLANINA",,karateklub.postojna@gmail.com,,https://www.facebook.com/pages/Karate-Klub-Postojna/159758520728587,karate
Karate klub Radenci Shotokan,"Hrastje - Mota 25, 9252 Radenci",,"branko.kramberger@gov.si, krambergerb@gmail.com",,,karate
Karate klub Radvanje - ŠD RADVANJE ,Korbunova 22. Pošta: 2000 Maribor,031 365 468,kkdamjan@gmail.com,http://www.kk-radvanje.net/,http://www.facebook.com/pages/Karate-Klub-Radvanje/173274046101430,karate
Karate klub Radvanje - ZPM MARIBOR,"Razlagova 16, 2000 Maribor",32 365 468,kkdamjan@gmail.com,http://www.kk-radvanje.net/,http://www.facebook.com/pages/Karate-Klub-Radvanje/173274046101430,karate
Karate klub Radvanje - OŠ TABOR,"Ulica Arnolda Tovornika 21, 2000 Maribor",33 365 468,kkdamjan@gmail.com,http://www.kk-radvanje.net/,http://www.facebook.com/pages/Karate-Klub-Radvanje/173274046101430,karate
Karate klub Radvanje - OŠ DRAGA KOBALA,"Tolstojeva ulica 3, 2000 maribor",34 365 468,kkdamjan@gmail.com,http://www.kk-radvanje.net/,http://www.facebook.com/pages/Karate-Klub-Radvanje/173274046101430,karate
Karate klub Rogaška Slatina,"Kidričeva ulica 24, 3250 Rogaška Slatina",031 403 296,srecko.borsic@volja.net,http://www.karate-rogaska.si/,,karate
Karate klub Selnica ob Dravi,"ČREŠNJEVEC OB DRAVI 3A, 2352 SELNICA OB DRAVI",041 474 957,"info@karate-selnica.si, stanko.jamnikar2@krs.net",http://www.karate-selnica.si/,https://www.facebook.com/kkselnica,karate
Karate klub Shito ryu Celje Gaberje ,"MARIBORSKA CESTA 42, 3000 Celje",041 707 224,shi.karate-ryu@gmail.com,http://www.karate-celje.si/,,karate
Karate klub Shito ryu Celje Gaberje  - Karate sekcija TRNAVA,"Trnava 5b, 3303 Gomilsko",041 707 224,m.cede@kofukan-si.com,http://kid.kibla.org/~marvin/Kofukan/Slovensko/Organizacija/Clani/Celje-Gabrje/celje-gabrje.html,,karate
Karate klub Shito ryu Celje Gaberje - Karate sekcija ŠEMPETER ,"Šolska ulica 2, 311 Šempeter v Savinjski dolini",041 707 224,m.cede@kofukan-si.com,http://kid.kibla.org/~marvin/Kofukan/Slovensko/Organizacija/Clani/Celje-Gabrje/celje-gabrje.html,,karate
Karate klub Shito ryu Celje Gaberje - Karate sekcija TABOR,"Tabor 25, 3304 Tabor",041 707 224,m.cede@kofukan-si.com,http://kid.kibla.org/~marvin/Kofukan/Slovensko/Organizacija/Clani/Celje-Gabrje/celje-gabrje.html,,karate
Karate klub Shoto-kan Apače - OŠ Apače,"Apače 38, 9253 Apače",,sho-kan.apace@volja.net,http://www.skif-slo.org/klubi/predstavitve/apace_start.php,,karate
Karate klub Shoto-kan Apače - DTV PARTIZAN GORNJA RADGONA,"Zgornja Velka 41B, 2213 Zgornja Velka",,sho-kan.apace@volja.net,http://www.skif-slo.org/klubi/predstavitve/apace_start.php,,karate
Karate klub Shoto-kan Apače - OŠ SVETA ANA,"Sv. Ana v Slov. goricah 14, 2233 Sv. Ana v Slov. goricah",,sho-kan.apace@volja.net,http://www.skif-slo.org/klubi/predstavitve/apace_start.php,,karate
Karate klub Shotokan Ajdovščina,LOKAVEC 2D ; 5270 AJDOVŠČINA,031 233 722,kksho.ajd@gmail.com,http://www.karateajd.si/,,karate
Karate klub Shotokan Kranj,"Cesta 1. maja 63, 4000 Kranj",031 322 239,info@shotokan-klub.si,http://www.shotokan-klub.si/,,karate
Karate klub Shotokan Velenje,"Jenkova 37, p.p. 39, 3320 Velenje",03 586 53 34,info@shotokan-velenje.si,http://www.shotokan-velenje.si/,,karate
PANTHER - KARATE KLUB ŠIŠKA  ,"Celovška cesta 264, 1000 Ljubljana",040 977 957,"mertz@panther.si, info@panther.si",http://panther.si/klubi/karate-siska-ljubljana,,"karate, kobudo"
PANTHER - KARATE KLUB MEDVODE,"Ostrovrharjeva ulica 4, Medvode",040 977 957,"mertz@panther.si, info@panther.si",http://panther.si/klubi/karate-medvode-pirnice-smlednik-preska-sora,,"karate, kobudo"
PANTHER - KARATE KLUB PANTER-BARJE  ,"Celovška cesta 264, 1000 Ljubljana",040 977 957,"mertz@panther.si, info@panther.si",http://panther.si/klubi/karate-barje-podpec-brezovica-preserje-notranje-gorice/,,"karate, kobudo"
Karate klub Tiger Velenje,"Vodnikova 3,    3320 Velenje",,kktiger@t-2.net,http://www.kktiger.net/,,karate
Karate klub Trbovlje,"Ulica 1. junija 4, 1420 Trbovlje",041 680 724,jernej.simerl@karate-klub-trbovlje.si,http://www.karate-klub-trbovlje.si/,,karate
Karate klub Trebnje,"Kidričeva 2, 8210 Trebnje",040 983 353,draga3@tusmobil.club,http://www.karate-klub-trebnje.si,,karate
Karate klub Velenje,"Šaleška cesta 3, 3320 Velenje",031 829 252, velenjekk@gmail.com,http://www.karateklub-velenje.si/,https://www.facebook.com/karateklub.velenje,karate
Karate klub Virtus Duplica,"Novi trg 41, 1241 Kamnik",,vlado.stanic@kks-kamnik.si,http://www.karate-klub-virtus.si/,http://sl-si.facebook.com/people/Karate-Klub-Virtus-Duplica/1621390603,karate
Karate klub Vrhnika,"Pod Hruševco 42, 1360 Vrhnika",051 303 857,dzemal.mustafic@gmail.com,http://www.karateklubvrhnika.net/,,karate
Karate klub Zmaj,"Ulica za travniki 15, 1260 Ljubljana",041 755 333,info@karateklubzmaj.si,http://www.karateklubzmaj.si/,,karate
Karate klub Žalec,"ULICA IVANKE URANJEK 6, 3310 ŽALEC","051 428 421, 03 714 04 66",slo-kzs@amis.net,http://www.karate-klub-zalec.si/,,karate
Shotokan karate klub Bohinj,"Savska cesta, 4264 Bohinjska Bistrica","068 172 908 , 031 582 445",info@bojevniki.org,http://www.bojevniki.org/,,karate
Shotokan karate klub Grosuplje ,"Adamičeva cesta 22, 1290 Grosuplje",040 468 477,belakimona@mojkarate.si,http://www.mojkarate.si/home/predstavitev,https://www.facebook.com/belakimona,karate
Shotokan karate klub Oplotnica ,"Grajska cesta št. 10, 2317 Oplotnica",041 725 485,karate.oplotnica@gmail.com,http://www.karatekluboplotnica.si/,https://www.facebook.com/pages/Shotokan-karate-klub-Oplotnica/421360391271014,karate
Shotokan karate-do klub Gornja Radgna ,"Prežihova ulica 1, 9250 Grosnja Radgona",(02) 560 10 76,zvone55@gmail.com,,https://www.facebook.com/pages/SHOTOKAN-KARATE-DO-KLUB-GORNJA-RADGONA/309469265746086,karate
Shotokan karate-do klub Gornja Radgna ,"Šolska ulica 2, 2234 Benedikt",(02) 560 10 76,zvone55@gmail.com,,https://www.facebook.com/pages/SHOTOKAN-KARATE-DO-KLUB-GORNJA-RADGONA/309469265746086,karate
Shotokan karate-do klub Gornja Radgna ,"Negova 20, 9245 Spodnji Ivanjci",(02) 560 10 76,zvone55@gmail.com,,https://www.facebook.com/pages/SHOTOKAN-KARATE-DO-KLUB-GORNJA-RADGONA/309469265746086,karate
Športno društvo dinami Celje ,"Vojkova ulica 10, 3000 Celje, Slovenija",041 426 381,dinamik.celje@gmail.com,http://www.dinamik-celje.si/,,karate
Športno društvo Gorica,"Bazoviška 4, 5000 Nova Gorica",041 651 352,info@karate-sdgorica.com,http://www.karate-sdgorica.com/,,karate
Športno društvo Piramida Novo mesto,"Šmarješka cesta 28, 8000 Novo mesto",031 388 442,sd_piramida@siol.net,http://www.piramida-sport.si/,https://www.facebook.com/pages/%C5%A0portno-dru%C5%A1tvo-Piramida-Novo-mesto/272710112742407,"karate, mma"
Karate klub Olimpija Ljubljana,"Celovška 25, 1000 Ljubljana", 041 445 722,info@karate-olimpija.si,http://www.karate-olimpija.si/,,karate
Telesno vzgojno društvo Partizan Ljutomer ,"Cven 86B, 9240 Ljutomer",040 192 048,info@karate-ljutomer.net,http://www.karate-ljutomer.net/,,karate
Karate-do Sakura Šempeter pri Gorici,"Bratuževa ulica 16, 5290 Šempeter pri Gorici",070 811 420,samshoto@gmail.com,http://www.sakura.shoto-kan.si/,,karate
"Tradicionalni Karate Do Shotokan, Koper - Capodistria","Vojkovo nabrežje 32, 6000 Koper",070 811 420,samshoto@gmail.com,http://www.samuraikoper.shoto-kan.si/,,karate
Karate klub Yoshitaka Miren,"Miren 13a, 5291 Miren",,samshoto@gmail.com,http://yoshitaka.shoto-kan.si/,,karate
Tradicionalni Karate Do Shotokan Zanshin Portorož,"Rozmanova 47, 6330 Piran",031 839 202,robertgiu@gmail.com,http://www.zanshin.shoto-kan.si/,,karate
Tradicionalni Karate Do Shotokan Nakama,"Rejceva 1D, Nova Gorica",040 844 633,,http://www.shoto-kan.si/index.php?option=com_content&view=article&id=298&Itemid=91,,karate
Tradicionalni Karate Do Shotokan SATORI Ajdovščina,"Branik 36c, Branik 5295",031 334 306,tks.satori@gmail.com,http://www.shoto-kan.si/index.php?option=com_content&view=article&id=338&Itemid=93,,karate
Karate klub Mawashi Postojna,"VOJKOVA ULICA 4, 6230 POSTOJNA",05 726 58 04,kkmawashi@gmail.com,,https://www.facebook.com/karate.mawashipostojna,karate
Karate klub Ljubljana - OŠ Nove Fužine,"Preglov trg 8, 1000 Ljubljana",,klemen.stanovnik@gmail.com,http://www.karateklubljubljana.si/,,karate
Karate klub Ljubljana - OŠ Martina Krpana,"Gašperšičeva ulica 10, 1000 Ljubljana",,klemen.stanovnik@gmail.com,http://www.karateklubljubljana.si/,,karate
Karate klub Ljubljana - OŠ Božidarja Jakca,"Nusdorferjeva 10, 1000 Ljubljana",,klemen.stanovnik@gmail.com,http://www.karateklubljubljana.si/,,karate
Karate klub Krka Šentjernej - OŠ Šentjernej,"Prvomajska cesta 9, 8310 Šentjernej",051 670 177,karatekrka.nm@gmail.com,http://www.karatekrka-novomesto.si/,,karate
Karate klub Krka Šentjernej - OŠ BRŠLJIN,"Kočevarjeva ulica 40, 8104 Novo mesto",051 670 177,karatekrka.nm@gmail.com,http://www.karatekrka-novomesto.si/,,karate
Klub Akademija borilnih veščin Bohinj,"Brod 11, 4264 Bohinjska Bistrica",041 723 824,info@borilna-akademija.info,http://borilna-akademija.info,,karate
Karate klub Rudar Velenje,"KARDELJEV TRG 3, 3320 VELENJE",051 386 456,kkrudarvelenje@gmail.com,,https://www.facebook.com/karateklub.rudarvelenje,karate
Karate Klub Shotokan Celje,"Ljubljanska cesta 46, 3000 Celje",040 381 470,shotokan.celje@gmail.com,www.jka-celje.com,,karate
Tokuhisa Takashi karate dojo,"LESKOŠKOVA CESTA 7, 1000 Ljubljana","041 255 188, 041 683 600",antik.apollon@siol.net,http://www.takashidojo.com/,,karate
Športno društvo NIKAN - Ju-jitsu,"Center JAM, Miklavčeva ul. 7, Maribor",070 893 542,nikan.jujitsu@gmail.com,http://www.nikan.si/jujitsu,,ju jitsu
Športno društvo NIKAN - Karate,"Center JAM, Miklavčeva ul. 7, Maribor",070 893 542,nikan.karatedo@gmail.com,http://www.nikan.si/jujitsu,,karate
World karate shotokan academy,"CANKARJEVA 5, MARIBOR",041 697 106,wksacademy@gmail.com,http://www.zveza-wksa.si/,https://www.facebook.com/WksaSlovenija/info?tab=overview,karate
KARATE KLUB WKSA DUPLEK,"Zgornja Korena 32, 2242 Zgornja Korena, Slovenija",031 658 267,wksaduplek@gmail.com,http://wksaduplek.si/,,karate
KARATE KLUB WKSA SENTILJ - KUNGOTA,"Mladinska ulica 13, 2212 ŠENTILJ V SLOVENSKIH GORICAH",040 201 728,wksasentilj@gmail.com,http://wksasentilj.wix.com/wksasentilj,https://www.facebook.com/karateklub.wksasentiljkungota,karate
KARATE KLUB RYUKYU KEMPO SLOVENIJA - OŠ GRM,"Trdinova ulica 7, Novo mesto",041 370 532,borut@rksi.net,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - OŠ Cente,"Seidlova cesta 7, Novo mesto",040 503 955,,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - Ljubljana,"Leskoškova 7, Ljubljana",041 370 532,borut@rksi.net,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - Celje,"Kosovelova ulica 2, 3000 Celje",040 423 727,,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - Litija,"Za povrtmi 1, Šmartno pri Litiji",040 241 041,klemen@kempoarnis.com,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - Maribor,"Kraljeviča Marka ulica 5, 2000 Maribor",070 831 707,gorazd@rksi.net,http://www.kempoarnis.com/,,kempo
KARATE KLUB RYUKYU KEMPO SLOVENIJA - Jesenice,"Čufarjeva 1, 4270 Jesenice",041 403 259,,http://www.kempoarnis.com/,,kempo
Nanbudo Center Ljubljana,"Tabor 13, Ljubljana",031 526 773,info@nanbudo.si,,,nanbudo
AKADEMIJA BOJEVNIŠKIH VEŠČIN PTUJ,"Raičeva 2, Ptuj 2250",040 797 380,abv.ptuj@gmail.com,https://sites.google.com/site/akademijabojevniskihvescinptuj/,https://www.facebook.com/pages/Akademija-bojevni%C5%A1kih-ve%C5%A1%C4%8Din-Ptuj/115063525216207,"mecevanje, karate, aikido"
Karate klub Tora,"Pot v Gaj 2, 6000 Koper","040 170 179, 040 463 161",tora.karate@gmail.si,http://www.klub-tora.si,,karate
Karate klub Goryu - Tolmin,"Dijaška 12b, 5220 TOLMIN","031 253 364, 031 628 164",goryu.karate@gmail.com,š,https://www.facebook.com/pages/Slovenska-Zveza-Tradicionalnega-Karateja-SZTK/150573685047026?ref=digest_email#!/karate.goryu,karate
Karate klub Goryu - Kanal,"Gradnikova ulica 25, 5213 Kanal","031 253 364, 031 628 164",goryu.karate@gmail.com,http://www.goryu.si,https://www.facebook.com/pages/Slovenska-Zveza-Tradicionalnega-Karateja-SZTK/150573685047026?ref=digest_email#!/karate.goryu,karate
Huda mravljica karate klub,"Cesta maršala Tita 16, 4270 Jesenice ",,info.hmclub@gmail.com,,,karate
Karate klub Mladina,"Stara Loka 31, Škofja Loka",041 706 270,kkmladina@siol.net,http://www.karate-klub-mladina.si/,,karate
Karate klub Kensei Litija,"Loška ulica 2, 1270 Litija ",,kensei.karate@gmail.com,http://www.kensei.si,,karate
Karate klub Grade,"Na korošci 2, 1000 Ljubljana ",,grade_milenkovic@grade.si,,https://www.facebook.com/groups/104623646243145/,karate
Karate klub MI-KI - Oš Žirovnica,"Zabreznica 4, 4274 Žirovnica",041 743 415,klub@karate-miki.si,http://www.karate-miki.si/,,karate
Karate klub MI-KI - TVD Partizan,"Cesta železarjev 1, 4270 Jesenice",041 743 415,klub@karate-miki.si,http://www.karate-miki.si/,,karate
Karate klub Panda,"Ulica Staneta Bokala 1a, 4720 Jesenice ",,,,http://www.facebook.com/groups/332951213478830/?fref=ts,karate
Karate klub Oldersi,"Gabrije 39, 6250 Ilirska Bistrica ",,,,http://www.facebook.com/pages/Karate-Klub-OlderSi/125354124231028,karate
Karate klub Kaze,"Triglavska Ulica 19, 1000 Ljubljana ",,kaze.karate@gmail.com,,http://www.facebook.com/pages/KAZE-karate-klub/390755644309670,karate
DBV TO-TE Rače,"Ljubljanska cesta 51/b, 2327 Rače ",040 536 097,aljosakarate@yahoo.com,http://dbv-tote.webs.com/,www.facebook.com/dbv.toterace,karate
Partizan Škofja Loka (karate sekcija),"Podlubnik 1c, 4220 Škofja Loka ",,stanislav_strnad@t-2.net,http://sdpartizan.si/index.php/karate?layout=blog,,karate
Športno društvo SHIN-GI-TAI,"Tržaška 72 , Ljubljana",040 280 227,i.zelinka@kofukan-si.com,http://kid.kibla.org/~marvin/Kofukan/Slovensko/Organizacija/Clani/Shin-Gi-Tai/shin-gi-tai.html,,karate
Karate sekcija LJUTOMER,"Cven 102 b, SI - 9240 Ljutomer","02/5821640, 02/5848393",,http://kid.kibla.org/~marvin/Kofukan/Slovensko/Organizacija/Clani/Ljutomer/ljutomer.html,,karate
Karate Klub Mežica,"Leška cesta 13, 2392 Mežica",040 551 038,florjan.reiter@jka-slovenija.si,http://www.karate-klub-mezica.si/,,karate
Karate Klub Traditional Karate do Prevalje,"Polje 4, 2391 Prevalje",051 262 347,ivan.mravljak@gmail.com,http://www.karate-klub-prevalje.si/,,karate
Shotokan Karate Klub Slovenske Konjice,"Šolska 13 a, 3210 Slovenske Konjice",041 928 257,fael.lipus@gmail.com,,,karate
Karate Klub Slovenj Gradec,"Celjska cesta 21, 2380 Slovenj Gradec",041 736 852,sgrosssamo@gmail.com,http://www.karateklub-slovenjgradec.si,https://www.facebook.com/pages/Karate-klub-Slovenj-Gradec-Sensei-Ljubljana/263076987045687,karate
Karate Klub Sensei Ljubljana,"Prušnikova 2, 1210 Ljubljana",041 736 852,sgrosssamo@gmail.com,http://www.karateklub-sensei.si,https://www.facebook.com/pages/Karate-klub-Slovenj-Gradec-Sensei-Ljubljana/263076987045688,karate
Karate Društvo Samurai Nova Gorica,"Cesta 9 korpusa 96, Solkan",040 844 655,miha.cebron@jka-slovenija.si,,https://www.facebook.com/samurai.ng,karate
Karate klub Ronin Poljane,"Poljane 100, 4223 Poljane",,roninpoljane@gmail.com,http://www.karateklub-ronin.si/,,karate
Karate društvo Bushi Divača,"Ul. dr. Bogomira Magajne 4, 6215 Divača","031 662 556, 041 814 668",savle.irena@amis.net,http://www.bushi-divaca.si/,,karate
Karate klub Wankan Ihan,"Smledniški cesti 62a, 4000 Kranj",040 373 706,bgwankan1@gmail.com,http://www.kk-wankan.com/,,"karate, fitness, tae bo, samoobramba"
KBV Dren Krško,"Ul.Anke Salmičeve 29, 8273 Leskovec pri Krškem ",,kerin.andrej1@siol.net,,,karate
KBV Sevnica - OŠ Sava Kladnika Sevnica,"Trg svobode 42, 8290 Sevnica",,kbv.sevnica@gmail.com,http://www.kbv-sevnica.com,,karate
